#
# Resonance parameters for Z=  56 A= 136 (136Ba) Target spin= 0.0
# Thermal capture cross section= 6.80000E+02 mb   Sn= 6.90564E+00 MeV
#
#  Einc[MeV]= 1.00000E-03
# Rprime[fm]= 4.39731E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 1.20075E+03 1.20075E+03 1.80190E+00 1.80190E+00 0.00000E+00 2.16363E-01 1.11051E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 4.14702E+02 1.20075E+03 9.29905E-01 1.16255E+00 0.00000E+00 1.39593E-01 1.72460E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 4.14702E+02 6.33491E+02 9.29905E-01 8.52356E-01 0.00000E+00 5.39960E-02 1.39677E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
#  Einc[MeV]= 2.00000E-03
# Rprime[fm]= 4.38034E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 1.19924E+03 1.19924E+03 1.78817E+00 1.78817E+00 0.00000E+00 2.14445E-01 1.11075E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 4.14179E+02 1.19924E+03 9.29045E-01 1.16122E+00 0.00000E+00 1.39258E-01 1.72462E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 4.14179E+02 6.32691E+02 9.29045E-01 8.51654E-01 0.00000E+00 5.38834E-02 1.39691E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
#  Einc[MeV]= 5.00000E-03
# Rprime[fm]= 4.34678E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
