                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.129  2.42E+00 9.67E+00 6.15E+01 1.06E+00 1.78E+00 2.00E+00 1.77E+00 1.31E+00 8.31E-01 4.55E-01 2.17E-01 9.09E-02 3.34E-02 1.08E-02 3.10E-03 7.84E-04 1.75E-04 3.48E-05 6.11E-06 9.51E-07 1.31E-07 1.61E-08 1.75E-09 1.69E-10 1.45E-11 1.11E-12 7.51E-14 4.52E-15 2.42E-16 1.15E-17 4.85E-19 1.82E-20 6.09E-22
   0.50  0.182  5.74E+00 1.33E+01 8.45E+01 1.46E+00 2.45E+00 2.75E+00 2.44E+00 1.80E+00 1.14E+00 6.25E-01 2.99E-01 1.25E-01 4.59E-02 1.49E-02 4.26E-03 1.08E-03 2.41E-04 4.78E-05 8.39E-06 1.31E-06 1.81E-07 2.21E-08 2.41E-09 2.33E-10 2.00E-11 1.52E-12 1.03E-13 6.21E-15 3.32E-16 1.58E-17 6.67E-19 2.51E-20 8.37E-22
   0.75  0.223  1.03E+01 1.83E+01 1.16E+02 1.99E+00 3.35E+00 3.76E+00 3.35E+00 2.49E+00 1.58E+00 8.69E-01 4.17E-01 1.75E-01 6.50E-02 2.12E-02 6.12E-03 1.56E-03 3.53E-04 7.06E-05 1.25E-05 1.98E-06 2.76E-07 3.43E-08 3.79E-09 3.71E-10 3.23E-11 2.50E-12 1.72E-13 1.06E-14 5.75E-16 2.78E-17 1.20E-18 4.60E-20 1.57E-21
   1.00  0.258  1.66E+01 2.51E+01 1.65E+02 2.60E+00 4.41E+00 5.03E+00 4.57E+00 3.50E+00 2.30E+00 1.32E+00 6.65E-01 2.95E-01 1.16E-01 4.06E-02 1.26E-02 3.48E-03 8.58E-04 1.89E-04 3.70E-05 6.48E-06 1.01E-06 1.42E-07 1.77E-08 1.98E-09 1.98E-10 1.77E-11 1.42E-12 1.02E-13 6.52E-15 3.74E-16 1.92E-17 8.85E-19 3.64E-20
   1.25  0.288  2.52E+01 3.45E+01 2.34E+02 3.39E+00 5.80E+00 6.72E+00 6.24E+00 4.89E+00 3.32E+00 1.98E+00 1.04E+00 4.85E-01 2.02E-01 7.48E-02 2.48E-02 7.37E-03 1.96E-03 4.68E-04 1.00E-04 1.93E-05 3.34E-06 5.20E-07 7.27E-08 9.14E-09 1.03E-09 1.05E-10 9.65E-12 7.95E-13 5.90E-14 3.95E-15 2.37E-16 1.29E-17 6.28E-19
   1.50  0.316  3.70E+01 4.74E+01 3.32E+02 4.44E+00 7.65E+00 8.98E+00 8.48E+00 6.81E+00 4.76E+00 2.93E+00 1.60E+00 7.81E-01 3.41E-01 1.33E-01 4.70E-02 1.49E-02 4.25E-03 1.09E-03 2.54E-04 5.32E-05 1.01E-05 1.73E-06 2.67E-07 3.73E-08 4.71E-09 5.39E-10 5.58E-11 5.22E-12 4.42E-13 3.39E-14 2.35E-15 1.47E-16 8.38E-18
   1.75  0.341  5.33E+01 6.51E+01 4.69E+02 5.82E+00 1.01E+01 1.20E+01 1.15E+01 9.45E+00 6.78E+00 4.30E+00 2.43E+00 1.24E+00 5.64E-01 2.32E-01 8.61E-02 2.89E-02 8.79E-03 2.42E-03 6.05E-04 1.37E-04 2.81E-05 5.25E-06 8.89E-07 1.37E-07 1.91E-08 2.43E-09 2.80E-10 2.94E-11 2.81E-12 2.44E-13 1.92E-14 1.38E-15 8.99E-17
   2.00  0.365  7.57E+01 8.95E+01 6.61E+02 7.65E+00 1.34E+01 1.60E+01 1.56E+01 1.31E+01 9.60E+00 6.26E+00 3.66E+00 1.92E+00 9.14E-01 3.93E-01 1.53E-01 5.43E-02 1.75E-02 5.13E-03 1.37E-03 3.32E-04 7.35E-05 1.48E-05 2.73E-06 4.58E-07 7.02E-08 9.81E-09 1.25E-09 1.46E-10 1.55E-11 1.50E-12 1.33E-13 1.08E-14 7.98E-16
   2.25  0.387  1.06E+02 1.23E+02 9.31E+02 1.01E+01 1.77E+01 2.15E+01 2.12E+01 1.80E+01 1.35E+01 9.05E+00 5.45E+00 2.96E+00 1.46E+00 6.54E-01 2.67E-01 9.91E-02 3.36E-02 1.04E-02 2.95E-03 7.65E-04 1.81E-04 3.93E-05 7.80E-06 1.42E-06 2.36E-07 3.60E-08 5.03E-09 6.44E-10 7.56E-11 8.14E-12 8.03E-13 7.26E-14 6.02E-15
   2.50  0.408  1.49E+02 1.69E+02 1.31E+03 1.33E+01 2.35E+01 2.87E+01 2.88E+01 2.48E+01 1.90E+01 1.30E+01 8.04E+00 4.50E+00 2.30E+00 1.07E+00 4.54E-01 1.76E-01 6.28E-02 2.05E-02 6.13E-03 1.68E-03 4.25E-04 9.84E-05 2.09E-05 4.09E-06 7.36E-07 1.22E-07 1.85E-08 2.58E-09 3.32E-10 3.92E-11 4.27E-12 4.27E-13 3.93E-14
   2.75  0.428  2.07E+02 2.32E+02 1.84E+03 1.76E+01 3.12E+01 3.85E+01 3.89E+01 3.42E+01 2.66E+01 1.86E+01 1.18E+01 6.78E+00 3.57E+00 1.72E+00 7.58E-01 3.07E-01 1.14E-01 3.91E-02 1.23E-02 3.57E-03 9.52E-04 2.34E-04 5.32E-05 1.11E-05 2.14E-06 3.81E-07 6.26E-08 9.47E-09 1.32E-09 1.71E-10 2.03E-11 2.23E-12 2.26E-13
   3.00  0.447  2.86E+02 3.19E+02 2.59E+03 2.32E+01 4.15E+01 5.15E+01 5.27E+01 4.69E+01 3.71E+01 2.65E+01 1.71E+01 1.01E+01 5.48E+00 2.73E+00 1.24E+00 5.24E-01 2.03E-01 7.26E-02 2.39E-02 7.30E-03 2.05E-03 5.34E-04 1.29E-04 2.86E-05 5.89E-06 1.12E-06 1.97E-07 3.22E-08 4.86E-09 6.79E-10 8.78E-11 1.05E-11 1.17E-12
   3.25  0.465  3.96E+02 4.38E+02 3.63E+03 3.08E+01 5.52E+01 6.91E+01 7.13E+01 6.42E+01 5.16E+01 3.75E+01 2.48E+01 1.50E+01 8.35E+00 4.27E+00 2.02E+00 8.78E-01 3.53E-01 1.32E-01 4.53E-02 1.45E-02 4.28E-03 1.17E-03 2.98E-04 7.02E-05 1.53E-05 3.11E-06 5.85E-07 1.02E-07 1.66E-08 2.49E-09 3.48E-10 4.52E-11 5.44E-12
   3.50  0.483  5.47E+02 6.02E+02 5.10E+03 4.09E+01 7.36E+01 9.26E+01 9.65E+01 8.79E+01 7.17E+01 5.30E+01 3.57E+01 2.21E+01 1.26E+01 6.63E+00 3.22E+00 1.45E+00 6.04E-01 2.34E-01 8.38E-02 2.79E-02 8.64E-03 2.48E-03 6.64E-04 1.65E-04 3.81E-05 8.20E-06 1.64E-06 3.05E-07 5.28E-08 8.52E-09 1.28E-09 1.79E-10 2.32E-11
   3.75  0.499  7.54E+02 8.28E+02 7.14E+03 5.43E+01 9.81E+01 1.24E+02 1.31E+02 1.20E+02 9.94E+01 7.46E+01 5.12E+01 3.24E+01 1.89E+01 1.02E+01 5.09E+00 2.36E+00 1.02E+00 4.07E-01 1.52E-01 5.25E-02 1.70E-02 5.10E-03 1.43E-03 3.73E-04 9.09E-05 2.06E-05 4.37E-06 8.63E-07 1.59E-07 2.73E-08 4.38E-09 6.56E-10 9.16E-11
   4.00  0.516  1.04E+03 1.14E+03 1.00E+04 7.22E+01 1.31E+02 1.67E+02 1.77E+02 1.64E+02 1.37E+02 1.05E+02 7.31E+01 4.71E+01 2.81E+01 1.55E+01 7.95E+00 3.79E+00 1.68E+00 6.97E-01 2.69E-01 9.68E-02 3.25E-02 1.02E-02 2.98E-03 8.16E-04 2.09E-04 4.98E-05 1.11E-05 2.32E-06 4.53E-07 8.27E-08 1.41E-08 2.25E-09 3.36E-10
