                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.126  4.59E+00 1.84E+01 1.35E+02 4.00E+00 1.31E+00 2.77E+00 2.28E+00 2.35E+00 1.63E+00 1.94E+00 9.11E-01 6.35E-01 3.59E-01 8.41E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.178  1.23E+01 3.09E+01 2.43E+02 4.36E+00 2.04E+00 4.80E+00 5.74E+00 4.31E+00 3.07E+00 3.27E+00 1.16E+00 1.05E+00 5.39E-01 3.52E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.218  2.67E+01 5.74E+01 4.64E+02 5.26E+00 3.35E+00 1.08E+01 1.10E+01 8.21E+00 7.65E+00 5.70E+00 1.90E+00 1.79E+00 6.92E-01 5.29E-01 8.09E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.252  4.87E+01 8.81E+01 7.72E+02 5.10E+00 5.70E+00 1.56E+01 1.42E+01 1.48E+01 1.23E+01 9.80E+00 5.19E+00 2.99E+00 1.04E+00 8.38E-01 3.40E-01 7.95E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.282  8.16E+01 1.32E+02 1.21E+03 6.58E+00 7.88E+00 2.22E+01 1.94E+01 2.18E+01 1.79E+01 1.63E+01 9.59E+00 6.18E+00 1.32E+00 1.68E+00 5.91E-01 3.35E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.309  1.29E+02 1.92E+02 1.81E+03 9.14E+00 1.06E+01 3.10E+01 2.77E+01 3.08E+01 2.59E+01 2.28E+01 1.50E+01 1.13E+01 3.07E+00 2.45E+00 8.36E-01 5.05E-01 7.71E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.333  2.02E+02 2.88E+02 2.80E+03 1.24E+01 1.53E+01 4.41E+01 4.37E+01 4.59E+01 3.77E+01 3.33E+01 2.21E+01 1.95E+01 7.35E+00 4.62E+00 1.07E+00 8.02E-01 3.25E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.356  3.21E+02 4.78E+02 4.56E+03 2.43E+01 2.72E+01 7.45E+01 7.40E+01 7.52E+01 6.30E+01 5.14E+01 3.29E+01 2.86E+01 1.35E+01 9.07E+00 1.69E+00 1.61E+00 5.67E-01 7.51E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
